feed,data_source,kelly_fraction,gamma_target,tail_hedge_trigger,stress_guard_multiple,total_pnl,var_capture,max_drawdown,avg_daily_theta,dd_limit,survived,tuning_survived,profitable,final_bankroll
bates,synthetic,0.1,0.01,0.3,2.5,-157.07618741717948,-2.044664982504892,326.7665173453661,2.2471505892714356,1132.5638969928036,False,True,False,99842.92381258283
bates,synthetic,0.15,0.005,0.2,2.0,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.2,2.5,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.3,2.0,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.3,2.5,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.01,0.2,2.0,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.2,2.5,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.3,2.0,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.3,2.5,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
gbm,synthetic,0.05,0.005,0.2,2.0,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.2,2.5,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.3,2.0,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.3,2.5,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.01,0.2,2.0,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.2,2.5,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.3,2.0,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.3,2.5,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.1,0.005,0.2,2.0,-184.09678029618243,-0.28867783245597806,257.4580366072291,0.8533390082298826,430.08286014786086,False,True,False,99815.90321970382
gbm,synthetic,0.1,0.005,0.2,2.5,-184.09678029618243,-0.28867783245597806,257.4580366072291,0.8533390082298826,430.08286014786086,False,True,False,99815.90321970382
gbm,synthetic,0.1,0.005,0.3,2.0,-184.09678029618243,-0.28867783245597806,257.4580366072291,0.8533390082298826,430.08286014786086,False,True,False,99815.90321970382
gbm,synthetic,0.1,0.005,0.3,2.5,-184.09678029618243,-0.28867783245597806,257.4580366072291,0.8533390082298826,430.08286014786086,False,True,False,99815.90321970382
gbm,synthetic,0.1,0.01,0.2,2.0,-184.09836044525508,-0.28867783245597806,257.45902422477724,0.8533390082298826,430.08286014786086,False,True,False,99815.90163955475
gbm,synthetic,0.1,0.01,0.2,2.5,-184.09836044525508,-0.28867783245597806,257.45902422477724,0.8533390082298826,430.08286014786086,False,True,False,99815.90163955475
gbm,synthetic,0.1,0.01,0.3,2.0,-184.09836044525508,-0.28867783245597806,257.45902422477724,0.8533390082298826,430.08286014786086,False,True,False,99815.90163955475
gbm,synthetic,0.1,0.01,0.3,2.5,-184.09836044525508,-0.28867783245597806,257.45902422477724,0.8533390082298826,430.08286014786086,False,True,False,99815.90163955475
gbm,synthetic,0.15,0.005,0.2,2.0,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.2,2.5,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.3,2.0,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.3,2.5,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.01,0.2,2.0,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.2,2.5,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.3,2.0,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.3,2.5,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.0,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.5,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.0,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.5,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.0,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.5,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.0,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.5,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.1,0.005,0.2,2.0,-37.7395306252712,-1.200474403687154,97.22601925155797,1.1229535537997657,565.968591115082,False,True,False,99962.26046937473
real_aapl,plotly_finance_charts_apple,0.1,0.005,0.2,2.5,-37.7395306252712,-1.200474403687154,97.22601925155797,1.1229535537997657,565.968591115082,False,True,False,99962.26046937473
real_aapl,plotly_finance_charts_apple,0.1,0.005,0.3,2.0,-37.7395306252712,-1.200474403687154,97.22601925155797,1.1229535537997657,565.968591115082,False,True,False,99962.26046937473
real_aapl,plotly_finance_charts_apple,0.1,0.005,0.3,2.5,-37.7395306252712,-1.200474403687154,97.22601925155797,1.1229535537997657,565.968591115082,False,True,False,99962.26046937473
real_aapl,plotly_finance_charts_apple,0.1,0.01,0.2,2.0,-37.741937264854315,-1.200474403687154,97.2277532229252,1.1229535537997657,565.968591115082,False,True,False,99962.25806273514
real_aapl,plotly_finance_charts_apple,0.1,0.01,0.2,2.5,-37.741937264854315,-1.200474403687154,97.2277532229252,1.1229535537997657,565.968591115082,False,True,False,99962.25806273514
real_aapl,plotly_finance_charts_apple,0.1,0.01,0.3,2.0,-37.741937264854315,-1.200474403687154,97.2277532229252,1.1229535537997657,565.968591115082,False,True,False,99962.25806273514
real_aapl,plotly_finance_charts_apple,0.1,0.01,0.3,2.5,-37.741937264854315,-1.200474403687154,97.2277532229252,1.1229535537997657,565.968591115082,False,True,False,99962.25806273514
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.2,2.0,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.2,2.5,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.3,2.0,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.3,2.5,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.2,2.0,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.2,2.5,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.3,2.0,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.3,2.5,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
rough,synthetic,0.05,0.005,0.2,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.2,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.3,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.3,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.2,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.2,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.3,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.3,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.1,0.005,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.005,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.005,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.005,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.01,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.01,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.01,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.1,0.01,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
